 RecId   Time             Action              PalletID PalletTypeID
     1      1   StartDepalletize                     1            1
     2    404  finishDepalletize                     1            1
     3    405   StartDepalletize                     2            2
     4    656  finishDepalletize                     2            2
     5    657   StartDepalletize                     3            3
     6    929  finishDepalletize                     3            3
     7    930   StartDepalletize                     4            4
     8   1241  finishDepalletize                     4            4
     9   1242   StartDepalletize                     5            5
    10   1521  finishDepalletize                     5            5
    11   1522   StartDepalletize                     6            6
    12   1774  finishDepalletize                     6            6
    13   1775   StartDepalletize                     7            7
    14   2043  finishDepalletize                     7            7
    15   2044   StartDepalletize                     8            8
    16   2294  finishDepalletize                     8            8
    17   2295   StartDepalletize                     9            9
    18   2505  finishDepalletize                     9            9
    19   2506   StartDepalletize                    10           10
    20   2736  finishDepalletize                    10           10
    21   2737   StartDepalletize                    11           11
    22   2979  finishDepalletize                    11           11
    23   2980   StartDepalletize                    12           12
    24   3186  finishDepalletize                    12           12
    25   3187   StartDepalletize                    13           13
    26   3394  finishDepalletize                    13           13
    27   3395   StartDepalletize                    14           14
    28   3583  finishDepalletize                    14           14
    29   3584   StartDepalletize                    15           15
    30   3976  finishDepalletize                    15           15
    31   3977   StartDepalletize                    16           16
    32   4174  finishDepalletize                    16           16
    33   4175   StartDepalletize                    17           17
    34   4342  finishDepalletize                    17           17
    35   4343   StartDepalletize                    18           18
    36   4471  finishDepalletize                    18           18
    37   4472   StartDepalletize                    19           19
    38   4562  finishDepalletize                    19           19
    39   4563   StartDepalletize                    20           20
    40   4635  finishDepalletize                    20           20
    41   4636   StartDepalletize                    21           21
    42   4738  finishDepalletize                    21           21
    43   4739   StartDepalletize                    22           22
    44   4826  finishDepalletize                    22           22
    45   4827   StartDepalletize                    23           23
    46   4936  finishDepalletize                    23           23
    47   4937   StartDepalletize                    24           24
    48   5033  finishDepalletize                    24           24
    49   5034   StartDepalletize                    25           25
    50   5150  finishDepalletize                    25           25
    51   5151   StartDepalletize                    26           26
    52   5238  finishDepalletize                    26           26
    53   5239   StartDepalletize                    27           27
    54   5397  finishDepalletize                    27           27
    55   5398   StartDepalletize                    28           28
    56   5462  finishDepalletize                    28           28
    57   5463   StartDepalletize                    29           29
    58   5555  finishDepalletize                    29           29
    59   5556   StartDepalletize                    30           30
    60   5612  f
